cellI,x,y,z,S,Ux,Uy,Uz
20525,0.056375,0.01044847087,0.000125,6.25e-08,0,0,0
20526,0.056625,0.01044847087,0.000125,6.25e-08,0,0,0
20527,0.056875,0.01044847087,0.000125,6.25e-08,0,0,0
20528,0.057125,0.01044847087,0.000125,6.25e-08,0,0,0
20529,0.057375,0.01044847087,0.000125,6.25e-08,0,0,0
20530,0.057625,0.01044847087,0.000125,6.25e-08,0,0,0
20531,0.057875,0.01044847087,0.000125,6.25e-08,0,0,0
20532,0.058125,0.01044847087,0.000125,6.25e-08,0,0,0
20533,0.058375,0.01044847087,0.000125,6.25e-08,0,0,0
20534,0.058625,0.01044847087,0.000125,6.25e-08,0,0,0
20535,0.058875,0.01044847087,0.000125,6.25e-08,0,0,0
20536,0.059125,0.01044847087,0.000125,6.25e-08,0,0,0
20537,0.059375,0.01044847087,0.000125,6.25e-08,0,0,0
20538,0.059625,0.01044847087,0.000125,6.25e-08,0,0,0
20539,0.059875,0.01044847087,0.000125,6.25e-08,0,0,0
20540,0.060125,0.01044847087,0.000125,6.25e-08,0,0,0
20541,0.060375,0.01044847087,0.000125,6.25e-08,0,0,0
20542,0.060625,0.01044847087,0.000125,6.25e-08,0,0,0
20543,0.060875,0.01044847087,0.000125,6.25e-08,0,0,0
20544,0.061125,0.01044847087,0.000125,6.25e-08,0,0,0
20545,0.061375,0.01044847087,0.000125,6.25e-08,0,0,0
20546,0.061625,0.01044847087,0.000125,6.25e-08,0,0,0
20547,0.061875,0.01044847087,0.000125,6.25e-08,0,0,0
20548,0.062125,0.01044847087,0.000125,6.25e-08,0,0,0
20549,0.062375,0.01044847087,0.000125,6.25e-08,0,0,0
20550,0.062625,0.01044847087,0.000125,6.25e-08,0,0,0
20551,0.062875,0.01044847087,0.000125,6.25e-08,0,0,0
20552,0.063125,0.01044847087,0.000125,6.25e-08,0,0,0
20553,0.063375,0.01044847087,0.000125,6.25e-08,0,0,0
20554,0.063625,0.01044847087,0.000125,6.25e-08,0,0,0
20555,0.063875,0.01044847087,0.000125,6.25e-08,0,0,0
20556,0.064125,0.01044847087,0.000125,6.25e-08,0,0,0
20557,0.064375,0.01044847087,0.000125,6.25e-08,0,0,0
20558,0.064625,0.01044847087,0.000125,6.25e-08,0,0,0
20559,0.064875,0.01044847087,0.000125,6.25e-08,0,0,0
