cellI,x,y,z,V,Ux,Uy,Uz
311,0.002875,0.000875,0.000125,1.5625e-11,100.105821,0.1219392953,0
312,0.003125,0.000875,0.000125,1.5625e-11,100.1151156,0.1261221009,0
313,0.003375,0.000875,0.000125,1.5625e-11,100.1243365,0.1300352709,0
314,0.003625,0.000875,0.000125,1.5625e-11,100.1335454,0.1336737233,0
315,0.003875,0.000875,0.000125,1.5625e-11,100.1427249,0.1370069965,0
316,0.004125,0.000875,0.000125,1.5625e-11,100.1518441,0.1400408295,0
317,0.004375,0.000875,0.000125,1.5625e-11,100.1608993,0.1428031072,0
318,0.004625,0.000875,0.000125,1.5625e-11,100.1698901,0.1453201507,0
319,0.004875,0.000875,0.000125,1.5625e-11,100.1788237,0.1476233593,0
320,0.005125,0.000875,0.000125,1.5625e-11,100.1877278,0.1497287859,0
321,0.005375,0.000875,0.000125,1.5625e-11,100.1965949,0.1516299333,0
322,0.005625,0.000875,0.000125,1.5625e-11,100.2054202,0.1533536346,0
323,0.005875,0.000875,0.000125,1.5625e-11,100.2141802,0.1549259657,0
324,0.006125,0.000875,0.000125,1.5625e-11,100.2229187,0.1563710224,0
325,0.006375,0.000875,0.000125,1.5625e-11,100.2315881,0.1576905657,0
326,0.006625,0.000875,0.000125,1.5625e-11,100.2402624,0.1589057492,0
327,0.006875,0.000875,0.000125,1.5625e-11,100.2488451,0.1600007444,0
328,0.007125,0.000875,0.000125,1.5625e-11,100.257496,0.1609420402,0
329,0.007375,0.000875,0.000125,1.5625e-11,100.2663237,0.1617536784,0
330,0.007625,0.000875,0.000125,1.5625e-11,100.2749665,0.1624941179,0
331,0.007875,0.000875,0.000125,1.5625e-11,100.283482,0.1631694497,0
332,0.008125,0.000875,0.000125,1.5625e-11,100.291898,0.1637753489,0
333,0.008375,0.000875,0.000125,1.5625e-11,100.3002169,0.1643155491,0
334,0.008625,0.000875,0.000125,1.5625e-11,100.3084025,0.1647772585,0
335,0.008875,0.000875,0.000125,1.5625e-11,100.316556,0.165206319,0
336,0.009125,0.000875,0.000125,1.5625e-11,100.324472,0.1656464996,0
337,0.009375,0.000875,0.000125,1.5625e-11,100.3322892,0.1660461587,0
338,0.009625,0.000875,0.000125,1.5625e-11,100.3400673,0.1663755467,0
339,0.009875,0.000875,0.000125,1.5625e-11,100.3477866,0.1666388889,0
340,0.010125,0.000875,0.000125,1.5625e-11,100.3554473,0.1668443017,0
341,0.010375,0.000875,0.000125,1.5625e-11,100.3630494,0.1669984747,0
