# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
0                 	N/A	N/A	N/A	N/A
55                	4.6833201887e-03	1.4497683471e-01	7.3885434138e-02	2.3661907783e-02	7.3454580730e-05
56                	4.5033293231e-03	1.5661278303e-01	7.1796791907e-02	2.3768815025e-02	7.3022524584e-05
57                	4.4408061818e-03	1.7143300812e-01	7.0458827686e-02	2.4010656295e-02	6.9147452801e-05
58                	4.3139659428e-03	1.8021760804e-01	6.9970258699e-02	2.3906905745e-02	6.4764365582e-05
59                	4.1992275094e-03	1.8452518669e-01	6.9495585338e-02	2.4143361591e-02	6.1525918676e-05
60                	3.9729952527e-03	1.6977932668e-01	6.9696243049e-02	2.4065554032e-02	5.5680518917e-05
61                	3.7490820031e-03	1.5625437894e-01	6.9878693069e-02	2.4194354955e-02	5.0747102539e-05
62                	3.4551870036e-03	1.3703856377e-01	7.2656280102e-02	2.4057850250e-02	4.6852871909e-05
63                	3.2227943980e-03	1.2559391039e-01	7.3206743576e-02	2.4242105374e-02	4.4940043782e-05
64                	3.0115485282e-03	1.1548907647e-01	7.4864792325e-02	2.4152761630e-02	4.4125526699e-05
65                	2.8328243418e-03	1.1573300080e-01	7.3369692698e-02	2.4286984004e-02	4.2656885847e-05
66                	2.7708829795e-03	1.1475607865e-01	7.2529995364e-02	2.4169014774e-02	4.1341071673e-05
67                	2.7041155993e-03	1.1819273164e-01	6.8587489929e-02	2.4242707612e-02	4.0662326900e-05
68                	2.6734482620e-03	1.1750036943e-01	6.5697289968e-02	2.4206901663e-02	3.9677964453e-05
69                	2.5828482240e-03	1.1890031176e-01	6.1913090348e-02	2.4394948296e-02	3.8529467070e-05
70                	2.5000046433e-03	1.1549911133e-01	6.0059420988e-02	2.4420056754e-02	3.8217803174e-05
71                	2.4089819187e-03	1.1395112239e-01	5.7615058040e-02	2.4785930990e-02	3.8981875859e-05
72                	2.3054519762e-03	1.1217655078e-01	5.6845451779e-02	2.4857747156e-02	3.9564703768e-05
73                	2.1551780301e-03	1.1171073037e-01	5.5705846749e-02	2.5189862034e-02	4.0390779037e-05
