# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
173               	4.9188553707e-04	5.3801248862e-03	1.4418548303e-02	5.0299348018e-05	5.6075137967e-06
174               	4.8640823655e-04	5.2940416211e-03	1.4256631264e-02	4.9166961130e-05	5.4795703199e-06
175               	4.8043899091e-04	5.2317055259e-03	1.4086087371e-02	4.7618783996e-05	5.3198045616e-06
176               	4.7461273866e-04	5.1689421895e-03	1.3929563896e-02	4.5853740848e-05	5.1118590875e-06
177               	4.6907657701e-04	5.1016610049e-03	1.3764333125e-02	4.4204700881e-05	4.9707512425e-06
178               	4.6241707967e-04	5.0541857263e-03	1.3617838779e-02	4.3041693614e-05	4.8479182295e-06
179               	4.5656473017e-04	4.9865695233e-03	1.3471304892e-02	4.1510493427e-05	4.6595845788e-06
180               	4.5075492723e-04	4.9161483712e-03	1.3324446923e-02	4.0312245160e-05	4.5350009129e-06
181               	4.4465493363e-04	4.8696038015e-03	1.3185690440e-02	3.9783651957e-05	4.4927699544e-06
182               	4.3868306279e-04	4.8227407349e-03	1.3050963296e-02	3.8838284323e-05	4.3905191067e-06
183               	4.3299839383e-04	4.7830681146e-03	1.2918333078e-02	3.7590623670e-05	4.2542437949e-06
184               	4.2796047608e-04	4.7091551086e-03	1.2800082431e-02	3.6595335293e-05	4.1692000243e-06
185               	4.2316109204e-04	4.6209174085e-03	1.2653394499e-02	3.6361219433e-05	4.1984848335e-06
186               	4.1769263800e-04	4.5885418209e-03	1.2505109387e-02	3.6229590814e-05	4.1651286196e-06
187               	4.1270406943e-04	4.5589974189e-03	1.2350899879e-02	3.5701879867e-05	4.0953875125e-06
188               	4.0833836793e-04	4.5252896151e-03	1.2206952164e-02	3.4798316766e-05	4.0057904777e-06
189               	4.0396465063e-04	4.4502280166e-03	1.2063538306e-02	3.4175772412e-05	3.9608437162e-06
190               	3.9940475396e-04	4.3998847331e-03	1.1921548215e-02	3.3294350496e-05	3.8620812372e-06
191               	3.9473998933e-04	4.3352015562e-03	1.1763688252e-02	3.2933985732e-05	3.8213114312e-06
192               	3.9045153476e-04	4.2859748121e-03	1.1621011680e-02	3.2357194081e-05	3.7548228564e-06
193               	3.8646992116e-04	4.2207667753e-03	1.1489226586e-02	3.1471554917e-05	3.6478060126e-06
194               	3.8224845602e-04	4.1494333671e-03	1.1356399109e-02	3.0702921942e-05	3.5913237261e-06
195               	3.7698769827e-04	4.0990922502e-03	1.1220301928e-02	3.0193900432e-05	3.5266886330e-06
196               	3.7186848796e-04	4.0520495827e-03	1.1088980582e-02	2.9815576753e-05	3.4781543522e-06
197               	3.6720780281e-04	4.0009804555e-03	1.0967287447e-02	2.8891453737e-05	3.3397002439e-06
198               	3.6267356544e-04	3.9419720921e-03	1.0836957263e-02	2.8275550048e-05	3.2584408113e-06
199               	3.5857255867e-04	3.8936305046e-03	1.0711617792e-02	2.7729719532e-05	3.1775265684e-06
200               	3.5412148041e-04	3.8424966001e-03	1.0584267251e-02	2.7254859767e-05	3.1470776090e-06
201               	3.4922197972e-04	3.8068683305e-03	1.0466587256e-02	2.6913271286e-05	3.1168661401e-06
202               	3.4435067035e-04	3.7811943493e-03	1.0333719422e-02	2.6513787556e-05	3.0612277757e-06
203               	3.4016911116e-04	3.7538615118e-03	1.0207130274e-02	2.6282909430e-05	3.0285337259e-06
204               	3.3640236788e-04	3.7245681312e-03	1.0099642062e-02	2.5743329467e-05	2.9504077450e-06
205               	3.3260134531e-04	3.6417047981e-03	9.9874931727e-03	2.5332797279e-05	2.9189751866e-06
206               	3.2928158970e-04	3.5946612737e-03	9.8789794871e-03	2.5212874075e-05	2.9220868968e-06
207               	3.2520706340e-04	3.5561179613e-03	9.7799621420e-03	2.4914244513e-05	2.8869642235e-06
208               	3.2111537262e-04	3.5120287779e-03	9.6670172940e-03	2.4382328324e-05	2.8325990974e-06
209               	3.1754760844e-04	3.4621586314e-03	9.5639969848e-03	2.4245626857e-05	2.8344405637e-06
210               	3.1424562501e-04	3.4263961671e-03	9.4567622925e-03	2.4184389272e-05	2.8233246484e-06
211               	3.1103312234e-04	3.3977901041e-03	9.3389072535e-03	2.3625341547e-05	2.7499172371e-06
212               	3.0890149066e-04	3.3445808504e-03	9.2187387668e-03	2.2993295097e-05	2.6691738149e-06
213               	3.0669988876e-04	3.2952217665e-03	9.1060418583e-03	2.2634677921e-05	2.6387022258e-06
214               	3.0447204549e-04	3.2551235732e-03	8.9974705764e-03	2.2432079309e-05	2.6274046488e-06
215               	3.0195228209e-04	3.2139214168e-03	8.8976246092e-03	2.2014687765e-05	2.5756880689e-06
216               	2.9881400658e-04	3.1796952339e-03	8.7997779564e-03	2.1432871931e-05	2.5050143407e-06
217               	2.9476938762e-04	3.1379005156e-03	8.7148210067e-03	2.0899146986e-05	2.4479952990e-06
218               	2.9052175172e-04	3.0938472149e-03	8.6333685351e-03	2.0637064635e-05	2.4172462591e-06
219               	2.8649434957e-04	3.0503094756e-03	8.5430134798e-03	2.0096328095e-05	2.3381316160e-06
220               	2.8247814489e-04	3.0044828208e-03	8.4502829081e-03	1.9422932209e-05	2.2579395197e-06
221               	2.7810425316e-04	2.9648798257e-03	8.3534685441e-03	1.8800719705e-05	2.1856786665e-06
222               	2.7445211414e-04	2.9247444547e-03	8.2630386274e-03	1.8340907380e-05	2.1246990097e-06
223               	2.7198205422e-04	2.8925039653e-03	8.1743140176e-03	1.7962148247e-05	2.0730643569e-06
224               	2.6886900984e-04	2.8646912658e-03	8.0866783339e-03	1.7697593142e-05	2.0353785139e-06
225               	2.6521430130e-04	2.8278585797e-03	7.9876800949e-03	1.7504805227e-05	2.0128957688e-06
226               	2.6185115959e-04	2.8042467335e-03	7.8931291746e-03	1.7314730225e-05	1.9865979169e-06
227               	2.5927508615e-04	2.7758314403e-03	7.8051744947e-03	1.7153711353e-05	1.9697642770e-06
228               	2.5668817720e-04	2.7339142837e-03	7.7151366865e-03	1.7122505344e-05	1.9778214828e-06
229               	2.5358673411e-04	2.7088378081e-03	7.6169615901e-03	1.7047656249e-05	1.9876645357e-06
230               	2.5081120079e-04	2.6747911402e-03	7.5195310387e-03	1.6867282185e-05	1.9712064201e-06
231               	2.4784033716e-04	2.6532133575e-03	7.4242881492e-03	1.6713974553e-05	1.9598407776e-06
232               	2.4452235600e-04	2.6328844392e-03	7.3297754352e-03	1.6339568468e-05	1.9083430563e-06
233               	2.4132517049e-04	2.5969973312e-03	7.2396870387e-03	1.6154688921e-05	1.9006375714e-06
234               	2.3872411175e-04	2.5569951382e-03	7.1500926371e-03	1.6081074262e-05	1.8884936368e-06
235               	2.3603285951e-04	2.5221555355e-03	7.0601792666e-03	1.5946197466e-05	1.8654982681e-06
236               	2.3368143885e-04	2.4835417413e-03	6.9759422163e-03	1.5700582982e-05	1.8329635791e-06
237               	2.3100166667e-04	2.4510824694e-03	6.8976872574e-03	1.5419824299e-05	1.8096511090e-06
238               	2.2800389660e-04	2.4200448895e-03	6.8171768992e-03	1.5226990460e-05	1.7940267579e-06
239               	2.2475940024e-04	2.3828540195e-03	6.7355553430e-03	1.4901727478e-05	1.7524114675e-06
240               	2.2218092051e-04	2.3491558809e-03	6.6623103356e-03	1.4499747147e-05	1.7019814990e-06
241               	2.1968280832e-04	2.3228947169e-03	6.5919589000e-03	1.4204289680e-05	1.6638848271e-06
242               	2.1714120281e-04	2.2913115607e-03	6.5184921609e-03	1.3904455648e-05	1.6192020193e-06
243               	2.1448171773e-04	2.2630521544e-03	6.4421599062e-03	1.3632794517e-05	1.5853718885e-06
244               	2.1240409523e-04	2.2480299306e-03	6.3690257849e-03	1.3255094175e-05	1.5408830051e-06
245               	2.0995772843e-04	2.2277259078e-03	6.3005716503e-03	1.2922111775e-05	1.5038915402e-06
246               	2.0742011501e-04	2.1917362554e-03	6.2295076948e-03	1.2637569556e-05	1.4671721957e-06
247               	2.0521111874e-04	2.1568938630e-03	6.1591415940e-03	1.2420689686e-05	1.4345139737e-06
248               	2.0299701685e-04	2.1288455399e-03	6.0887956074e-03	1.2193815377e-05	1.4036352581e-06
249               	2.0070340312e-04	2.1013919640e-03	6.0168581738e-03	1.2027292636e-05	1.3896988618e-06
250               	1.9817836738e-04	2.0738950636e-03	5.9466752024e-03	1.2076447255e-05	1.3733535381e-06
251               	1.9474757899e-04	2.0381790418e-03	5.8675293473e-03	1.2091471757e-05	1.3876899622e-06
252               	1.9214241005e-04	2.0098574108e-03	5.7956186250e-03	1.1965003241e-05	1.3944792493e-06
253               	1.8978800576e-04	1.9931916872e-03	5.7234222409e-03	1.1749926042e-05	1.3780503760e-06
254               	1.8741805036e-04	1.9806050851e-03	5.6492613901e-03	1.1550344688e-05	1.3500189488e-06
255               	1.8566916677e-04	1.9606900347e-03	5.5804782490e-03	1.1336980242e-05	1.3187559086e-06
256               	1.8379539726e-04	1.9337552732e-03	5.5161953098e-03	1.1197897732e-05	1.3000882168e-06
257               	1.8203315233e-04	1.8996558069e-03	5.4552033890e-03	1.1131081355e-05	1.3014769599e-06
258               	1.8009950725e-04	1.8799121762e-03	5.3965646206e-03	1.1102157539e-05	1.2995465714e-06
259               	1.7838005347e-04	1.8596208411e-03	5.3361404016e-03	1.0920485454e-05	1.2790909773e-06
260               	1.7661139873e-04	1.8315290548e-03	5.2796225078e-03	1.0732070069e-05	1.2586365922e-06
