cellI,x,y,z,S,omega,k,nut
21685,0.146375,0,0.000125,6.25e-08,239655.6095,29.10582775,2.144131638e-05
21686,0.146625,0,0.000125,6.25e-08,239543.1039,29.0849693,2.143203325e-05
21687,0.146875,0,0.000125,6.25e-08,239434.6204,29.06486008,2.142308154e-05
21688,0.147125,0,0.000125,6.25e-08,239330.0568,29.04548076,2.141445283e-05
21689,0.147375,0,0.000125,6.25e-08,239229.314,29.02681261,2.140613896e-05
21690,0.147625,0,0.000125,6.25e-08,239132.285,29.00883547,2.139813117e-05
21691,0.147875,0,0.000125,6.25e-08,239038.8768,28.9915318,2.139042187e-05
21692,0.148125,0,0.000125,6.25e-08,238948.9838,28.97488176,2.138300244e-05
21693,0.148375,0,0.000125,6.25e-08,238862.5398,28.95887279,2.137586747e-05
21694,0.148625,0,0.000125,6.25e-08,238779.3755,28.94347327,2.136900303e-05
21695,0.148875,0,0.000125,6.25e-08,238699.5311,28.92869044,2.136241244e-05
21696,0.149125,0,0.000125,6.25e-08,238622.4879,28.91442803,2.13560529e-05
21697,0.149375,0,0.000125,6.25e-08,238548.728,28.90077507,2.134996409e-05
21698,0.149625,0,0.000125,6.25e-08,238476.8182,28.88746611,2.134402773e-05
21699,0.149875,0,0.000125,6.25e-08,238410.953,28.87527723,2.133858988e-05
3900,0.000125,0.01,0.000125,6.25e-08,99678.53782,7.12568397,9.420189198e-06
3901,0.000375,0.01,0.000125,6.25e-08,112324.0388,8.686903391,1.055896635e-05
3902,0.000625,0.01,0.000125,6.25e-08,124093.0269,10.234617,1.160603558e-05
3903,0.000875,0.01,0.000125,6.25e-08,135095.737,11.75810571,1.257507457e-05
3904,0.001125,0.01,0.000125,6.25e-08,145408.1257,13.24865675,1.347552206e-05
3905,0.001375,0.01,0.000125,6.25e-08,155086.417,14.6992666,1.431433119e-05
3906,0.001625,0.01,0.000125,6.25e-08,164174.5491,16.10435867,1.509688069e-05
3907,0.001875,0.01,0.000125,6.25e-08,172708.7708,17.45961234,1.5827529e-05
3908,0.002125,0.01,0.000125,6.25e-08,180720.3968,18.76181509,1.650994972e-05
3909,0.002375,0.01,0.000125,6.25e-08,188237.4108,20.00871398,1.714733422e-05
3910,0.002625,0.01,0.000125,6.25e-08,195285.4441,21.19887849,1.774252029e-05
3911,0.002875,0.01,0.000125,6.25e-08,201888.3949,22.33157827,1.82980774e-05
3912,0.003125,0.01,0.000125,6.25e-08,208068.8342,23.40667605,1.881636508e-05
3913,0.003375,0.01,0.000125,6.25e-08,213848.2713,24.42453379,1.929957375e-05
3914,0.003625,0.01,0.000125,6.25e-08,219247.3174,25.38592805,1.974975264e-05
3915,0.003875,0.01,0.000125,6.25e-08,224285.785,26.29197512,2.016882947e-05
3916,0.004125,0.01,0.000125,6.25e-08,228982.7506,27.14406554,2.055862471e-05
