cellI,x,y,z,omega,k,nut
257,0.014375,0.000625,0.000125,14558.17214,7.224908988,0.0004962785792
258,0.014625,0.000625,0.000125,14780.81133,7.253471234,0.0004907356621
259,0.014875,0.000625,0.000125,15002.26589,7.281986354,0.0004853924338
260,0.015125,0.000625,0.000125,15222.50821,7.310458492,0.0004802400756
261,0.015375,0.000625,0.000125,15441.51061,7.338892483,0.0004752703714
262,0.015625,0.000625,0.000125,15659.24487,7.36729357,0.0004704756602
263,0.015875,0.000625,0.000125,15875.68118,7.395667107,0.0004658488049
264,0.016125,0.000625,0.000125,16090.7871,7.424018289,0.0004613831657
265,0.016375,0.000625,0.000125,16304.52634,7.452351842,0.0004570725753
266,0.016625,0.000625,0.000125,16516.85744,7.480671647,0.0004529113166
267,0.016875,0.000625,0.000125,16727.73198,7.508980288,0.0004488941056
268,0.017125,0.000625,0.000125,16937.0929,7.537278517,0.0004450160699
269,0.017375,0.000625,0.000125,17144.87128,7.565564386,0.0004412727435
270,0.017625,0.000625,0.000125,17350.98642,7.593832971,0.0004376600148
271,0.017875,0.000625,0.000125,17555.3473,7.622075803,0.0004341740253
272,0.018125,0.000625,0.000125,17757.84011,7.650282088,0.0004308115198
273,0.018375,0.000625,0.000125,17958.30769,7.678439383,0.0004275703209
274,0.018625,0.000625,0.000125,18156.57639,7.706526067,0.0004244481945
275,0.018875,0.000625,0.000125,18352.43475,7.734510869,0.0004214433112
276,0.019125,0.000625,0.000125,18545.62505,7.762352236,0.0004185543607
277,0.019375,0.000625,0.000125,18735.83372,7.789996275,0.0004157806048
278,0.019625,0.000625,0.000125,18922.67898,7.817373895,0.0004131219423
279,0.019875,0.000625,0.000125,19105.69748,7.844398529,0.0004105790191
280,0.020125,0.000625,0.000125,19284.32702,7.870963453,0.0004081533902
281,0.020375,0.000625,0.000125,19457.88758,7.896937189,0.000405847611
282,0.020625,0.000625,0.000125,19625.54673,7.92214881,0.0004036651268
283,0.020875,0.000625,0.000125,19786.27879,7.946380731,0.0004016106724
284,0.021125,0.000625,0.000125,19938.79802,7.969349479,0.0003996905668
285,0.021375,0.000625,0.000125,20081.4959,7.99070715,0.0003979139397
286,0.021625,0.000625,0.000125,20208.98656,8.009535492,0.0003963353366
287,0.021875,0.000625,0.000125,20324.48793,8.0263782,0.0003949117059
288,0.022125,0.000625,0.000125,20433.4477,8.042179787,0.0003935791897
289,0.022375,0.000625,0.000125,20534.15118,8.056468058,0.0003923448302
290,0.022625,0.000625,0.000125,20624.23809,8.068471384,0.0003912130643
291,0.022875,0.000625,0.000125,20701.29776,8.077677393,0.0003902014979
292,0.023125,0.000625,0.000125,20761.67389,8.082986065,0.0003893224654
293,0.023375,0.000625,0.000125,20801.79739,8.083909555,0.0003886159163
294,0.023625,0.000625,0.000125,20816.27533,8.079500785,0.0003881338356
295,0.023875,0.000625,0.000125,20798.72427,8.068885427,0.0003879509783
296,0.024125,0.000625,0.000125,20743.51427,8.053284398,0.0003882314392
297,0.024375,0.000625,0.000125,20638.47399,8.030665172,0.0003891113836
298,0.024625,0.000625,0.000125,20468.36699,7.999672704,0.0003908310179
299,0.024875,0.000625,0.000125,20231.22798,7.969134214,0.000393902645
300,0.000125,0.000875,0.000125,2451.335424,5.99693143,0.002446393656
301,0.000375,0.000875,0.000125,2456.333053,5.993802526,0.002440142439
302,0.000625,0.000875,0.000125,2465.46811,5.990797595,0.002429882411
303,0.000875,0.000875,0.000125,2478.92911,5.987953049,0.002415540253
304,0.001125,0.000875,0.000125,2496.697355,5.985299322,0.002397286683
305,0.001375,0.000875,0.000125,2518.631533,5.982860492,0.002375440954
306,0.001625,0.000875,0.000125,2544.522085,5.9806538,0.002350403573
307,0.001875,0.000875,0.000125,2574.128029,5.978691671,0.002322608512
308,0.002125,0.000875,0.000125,2607.198293,5.976983095,0.002292492715
309,0.002375,0.000875,0.000125,2643.486155,5.975534687,0.002260475122
310,0.002625,0.000875,0.000125,2682.75509,5.974350276,0.002226945836
311,0.002875,0.000875,0.000125,2724.782838,5.973431436,0.002192259637
312,0.003125,0.000875,0.000125,2769.365759,5.972778101,0.002156731404
313,0.003375,0.000875,0.000125,2816.317848,5.972388776,0.002120637335
314,0.003625,0.000875,0.000125,2865.468511,5.972260972,0.002084217973
315,0.003875,0.000875,0.000125,2916.662121,5.972391117,0.002047680146
316,0.004125,0.000875,0.000125,2969.757309,5.972774806,0.002011199632
317,0.004375,0.000875,0.000125,3024.625726,5.973406973,0.001974924342
318,0.004625,0.000875,0.000125,3081.150606,5.974281968,0.001938977587
319,0.004875,0.000875,0.000125,3139.226739,5.975393903,0.001903460438
