cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
228,0.007125,0.000625,0.000125,4.257405861,-0.2549375183,-0,4.271630706,-0,4.268571208
229,0.007375,0.000625,0.000125,4.275839419,-0.2778557932,-0,4.287429042,-0,4.286651339
230,0.007625,0.000625,0.000125,4.294564833,-0.2996687025,-0,4.303523344,-0,4.304992688
231,0.007875,0.000625,0.000125,4.313564178,-0.3208661495,-0,4.319901174,-0,4.323546196
232,0.008125,0.000625,0.000125,4.332803348,-0.3417457667,-0,4.336573446,-0,4.342259686
233,0.008375,0.000625,0.000125,4.352238409,-0.3625048663,-0,4.353526829,-0,4.36111779
234,0.008625,0.000625,0.000125,4.371194991,-0.3825385328,-0,4.372004117,-0,4.379480954
235,0.008875,0.000625,0.000125,4.389714921,-0.4026064695,-0,4.391840019,-0,4.397406808
236,0.009125,0.000625,0.000125,4.408733138,-0.422196913,-0,4.411146347,-0,4.415780383
237,0.009375,0.000625,0.000125,4.428037429,-0.4420178789,-0,4.430290729,-0,4.434387514
238,0.009625,0.000625,0.000125,4.447435071,-0.4623570593,-0,4.449575181,-0,4.453066047
239,0.009875,0.000625,0.000125,4.466890963,-0.4830924332,-0,4.468981143,-0,4.471818797
240,0.010125,0.000625,0.000125,4.486404118,-0.5041764264,-0,4.488449911,-0,4.490657417
241,0.010375,0.000625,0.000125,4.505975638,-0.5255661317,-0,4.507942917,-0,4.509574611
242,0.010625,0.000625,0.000125,4.525593308,-0.5472250516,-0,4.527452206,-0,4.528549217
243,0.010875,0.000625,0.000125,4.545242525,-0.5691423995,-0,4.546970005,-0,4.54756584
244,0.011125,0.000625,0.000125,4.564916414,-0.5912953564,-0,4.566484864,-0,4.56660844
245,0.011375,0.000625,0.000125,4.584683936,-0.6137036307,-0,4.585787245,-0,4.585787245
246,0.011625,0.000625,0.000125,4.604614797,-0.6361984662,-0,4.604791138,-0,4.605089483
247,0.011875,0.000625,0.000125,4.624559139,-0.6591169479,-0,4.623729385,-0,4.624410602
248,0.012125,0.000625,0.000125,4.644440364,-0.6821099246,-0,4.642673722,-0,4.643734276
249,0.012375,0.000625,0.000125,4.664316011,-0.7052513233,-0,4.661579834,-0,4.663029419
250,0.012625,0.000625,0.000125,4.684177501,-0.7285076215,-0,4.680414667,-0,4.682322436
251,0.012875,0.000625,0.000125,4.703999759,-0.7519842538,-0,4.699204855,-0,4.701600369
